;Brent;M2;USD_RUR;Construction_real_index;Construction_nominal_value;IPC;ICP_prom;Index_prom_O2;Index_dobycha_O2;Index_obrab_O2;Index_energy_O2;Index_water_O2;Index_prom_O1;Index_dobycha_O1;Index_obrab_O1;Index_energy_water_O1;Index_roznica;Roznica_current;Pay_service_to_prev_y;Pay_service_to_prev_period;Opt_current;Budget_in;Tax_pi;Tax_ndfl;Tax_nds;Tax_ndpi;Insurance;Budget_out;Out_general;Out_defense;Out_economy;Out_educ;Out_soc;Budget_in_r;Tax_pi_r;Tax_ndfl_r;Tax_nds_r;Tax_ndpi_r;Insurance_r;Budget_out_r;Out_general_r;Out_defense_r;Out_economy_r;Out_educ_r;Out_soc_r;INDEXDefl
2003m9;28.34;2744;30.61;289.04;109.2;100.3;101.4;;;;;;113;120.41;129.26;54.84;140.5;388;;;;3.39958E+11;37352828000;38139340000;78953932000;32995235000;;3.40658E+11;14173898000;27146326000;30972093000;33733550000;27687845000;7.1438E+11;78492417780;80145176937;1.65912E+11;69335466926;;7.15851E+11;29784720005;57044697167;65084080469;70886945958;58182633379;47.58781683
2003m10;27.94;2753.5;29.86;267.94;102.4;101;100.8;;;;;;119.4;121.01;133.4;75.58;145.3;405.5;;;;3.8004E+11;64512694000;38807993000;74312957000;28433251000;;3.16074E+11;15990629000;29909754000;26741317000;39931904000;25644226000;7.96219E+11;1.3516E+11;81306350710;1.55693E+11;59570302376;;6.62203E+11;33501853331;62663713333;56025543461;83661048670;53727035893;47.73058028
2003m11;28.76;2835.2;29.74;255.61;98.9;101;100.2;;;;;;116.1;115.93;125;89.93;146.2;411.8;;;;3.47969E+11;29854230000;38702196000;78597052000;32182578000;;3.29945E+11;14349750000;29084984000;25588430000;43696802000;28497597000;7.21809E+11;61928104351;80281877392;1.63038E+11;66757911648;;6.8442E+11;29766395429;60332419366;53079344643;90642435396;59113973489;48.20788608
2003m12;30.48;3205.2;29.45;297.53;116;101.1;100.5;;;;;;128;119.06;141.62;100.46;168.7;479.7;;;;4.12176E+11;53374484000;61672484000;78697663000;30661928000;;5.81059E+11;30650043000;53764851000;73757257000;73836687000;41536014000;8.46532E+11;1.09621E+11;1.26664E+11;1.6163E+11;62973814079;;1.19338E+12;62949404532;1.10423E+11;1.51483E+11;1.51647E+11;85307134738;48.68996495
2004m1;29.51;3203.3;28.49;159.48;62.3;101.8;104;;;;;;112.9;118.1;112.45;104.78;137.3;396.5;105.8;89.3;827.5;3.19103E+11;29923594000;33843028000;84542853000;31508849000;;1.93132E+11;9286524000;18431951000;0;26160389000;21536423000;6.48246E+11;60788739238;68750932930;1.71746E+11;64009129570;;3.92341E+11;18865250139;37443866635;0;53143919320;43750493402;49.22555456
2004m2;33.01;3323.5;28.52;177.34;70.3;101;103.4;;;;;;114.7;111.02;122.12;97.34;136.5;397.4;107.1;100.2;821.6;3.05541E+11;20062639000;39005655000;61898803000;37535793000;;3.11394E+11;12893071000;30309846000;20406780000;40235635000;25861175000;6.09721E+11;40035906213;77837553941;1.23522E+11;74904377644;;6.21401E+11;25728708041;60484672619;40722655190;80292034826;51607147836;50.11161454
2004m3;32.36;3409.7;28.49;214.76;85.3;100.8;101.3;;;;;;123.4;119.34;135.79;92.47;148;433.6;109;106.5;911.1;4.20418E+11;90865931000;43895080000;69787967000;33827829000;;3.85102E+11;17828272000;40597840000;23104131000;49449772000;29558046000;8.30656E+11;1.79532E+11;86727349826;1.37886E+11;66836601267;;7.6088E+11;35224876741;80212704291;45648852939;97702240777;58400417441;50.61273069
2004m4;35.12;3474.2;28.88;221.2;88.7;101;102.1;;;;;;119.1;116.72;134.71;76.57;147.5;435.6;107.8;99.8;896.3;5.12426E+11;1.17707E+11;46699782000;85012434000;40276969000;;4.00911E+11;21086494000;48131166000;25275296000;54407153000;38463513000;1.00441E+12;2.30719E+11;91536552524;1.66633E+11;78947154151;;7.85828E+11;41331776786;94342217798;49542275376;1.06644E+11;75392587014;51.01763253
2004m5;36.98;3514.9;28.99;246.42;100.4;100.7;102.1;;;;;;114.6;121.5;130.8;57.12;146.5;435.7;107;99.5;867.7;4.06824E+11;53266983000;40411754000;88837197000;38075256000;;3.1537E+11;13694458000;26002885000;22575122000;43434220000;23882033000;7.89523E+11;1.03375E+11;78427076360;1.72406E+11;73892635537;;6.12038E+11;26576829684;50463789507;43811531094;84292775032;46347852799;51.52780886
2004m6;33.51;3670.9;29.03;285.35;117.9;100.8;102.8;;;;;;118.2;123.08;139.83;48.49;146.8;440.5;108;104.5;896.7;4.60102E+11;71049070000;48737379000;83748806000;46627872000;;4.06441E+11;19314432000;29157922000;30370814000;74692642000;32651490000;8.86713E+11;1.36926E+11;93927123916;1.61401E+11;89861662674;;7.83297E+11;37222950537;56193414768;58530911357;1.43948E+11;62926251067;51.88850352
2004m7;41.6;3626.8;29.1;285.92;120.4;100.9;101.2;;;;;;119.3;129.11;138.99;47.96;152.1;459.8;109.3;103.7;914.1;5.05259E+11;91065859000;58538884000;1.05245E+11;41988281000;;3.77494E+11;19467390000;37041765000;29885229000;43391916000;32101016000;9.66011E+11;1.7411E+11;1.11921E+11;2.01219E+11;80277976524;;7.21736E+11;37219972816;70820664010;57137983621;82961605739;61374377504;52.30361155
2004m8;39.33;3649.8;29.24;303.07;130;100.4;101.8;;;;;;121.8;128.21;143.44;49.78;156.6;475.4;112;100.2;958.9;4.50896E+11;68122545000;45103748000;89900395000;40698448000;;3.76575E+11;16069409000;28888074000;30265032000;30282222000;32523864000;8.54384E+11;1.29083E+11;85465293430;1.70349E+11;77117866135;;7.13557E+11;30449282295;54738859419;57348002222;57380574868;61628172901;52.77434405
2004m9;47.08;3717.5;29.22;306.11;133.7;100.4;103.1;;;;;;120.9;125.77;141.14;55.31;158.4;483.9;111.1;100.7;1000.7;4.75025E+11;68561142000;45842288000;98995374000;54964931000;;3.78917E+11;17058421000;32510724000;32819806000;41426530000;34394067000;8.9652E+11;1.29396E+11;86518648829;1.86835E+11;1.03736E+11;;7.15134E+11;32194543520;61357843067;61941176887;78184740719;64912296798;52.98544143
2004m10;48.78;3787.8;28.77;277.03;124.8;101.1;101.8;;;;;;124.8;127.41;139.45;77.65;164.7;508.6;107.8;97.2;1078.9;4.90337E+11;78976623000;45990848000;96817347000;47271608000;;3.67984E+11;16411970000;36215667000;33559066000;45863484000;32051793000;9.21731E+11;1.4846E+11;86453214873;1.81996E+11;88860776906;;6.91733E+11;30851085175;68077910651;63084054111;86213797082;60250694819;53.19738319
