"","X","Brent","M2","USD_RUR","Construction_real_index","Construction_nominal_value","IPC","ICP_prom","Index_prom_O2","Index_dobycha_O2","Index_obrab_O2","Index_energy_O2","Index_water_O2","Index_prom_O1","Index_dobycha_O1","Index_obrab_O1","Index_energy_water_O1","Index_roznica","Roznica_current","Pay_service_to_prev_y","Pay_service_to_prev_period","Opt_current","Budget_in","Tax_pi","Tax_ndfl","Tax_nds","Tax_ndpi","Insurance","Budget_out","Out_general","Out_defense","Out_economy","Out_educ","Out_soc","Budget_in_r","Tax_pi_r","Tax_ndfl_r","Tax_nds_r","Tax_ndpi_r","Insurance_r","Budget_out_r","Out_general_r","Out_defense_r","Out_economy_r","Out_educ_r","Out_soc_r","INDEXDefl"
"1","2003m9",28.9943278482337,2818.83274870023,30.838165583471,248.348488447068,92.4801080285988,100.790531449339,101.4,NA,NA,NA,NA,NA,114.061838965855,117.708693113067,125.714638796722,73.6228392716833,138.380282401042,384.283752455922,NA,NA,NA,345073318703.414,46613283228.8123,40119233406.166,70203797571.3806,16250773338.021,NA,311679125376.929,12935571785.2952,27604704997.2803,19252531425.3532,39344660334.2394,25215697265.0384,735009383268.828,104801202509.813,81632861186.7506,160368038283.913,59436875475.8478,NA,695024977342.166,30780308909,64680969999.9441,51923521966.101,86940108430.092,55295746543.0844,47.7564974052814
"2","2003m10",28.8886929350835,2879.98967213238,30.2919372461807,251.164339843627,93.9657712172605,101.019971028193,100.8,NA,NA,NA,NA,NA,115.349317379802,117.42591890398,128.2839826796,73.1695792398745,139.059367891949,389.101664037473,NA,NA,NA,316427134399.445,39806306500.1685,39783861422.9909,73147744887.4875,17362328838.0578,NA,316471831218.812,10733859377.5174,28756656394.58,20681403972.1753,39946970512.1125,28899684494.5393,716656445260.474,103434713221.319,82323271278.7723,148702713089.806,59180680856.9257,NA,697495113811.77,36021576890,64659049494.2551,51814364197.2676,87572526901.2007,56667265918.5933,48.1260888274236
"3","2003m11",31.8434717915099,2958.26630629869,29.0071735178894,249.592645483114,94.7639711580691,100.98319943075,100.2,NA,NA,NA,NA,NA,114.496842172452,118.328076558783,126.495383538597,73.9247793892701,139.749079603453,393.885662944253,NA,NA,NA,383149466103.9,57186291717.2511,42066879915.8857,74105459777.6738,23781180109.2458,NA,335296934541.141,17263503223.2205,29532480150.7283,21483124753.7241,42184904193.9996,28668897103.6403,761849936166.266,109684837837.55,83399315718.8798,158440797965.578,65042712706.5708,NA,698538467200.669,29450305534,64528756201.6995,50436720673.4394,88407902526.5375,56421523949.0574,48.583473050986
"4","2003m12",34.516225576399,3056.52476167059,28.5853132324549,249.921140588485,95.6155295868013,101.019951610095,100.5,NA,NA,NA,NA,NA,115.877380002015,118.211433259504,129.173846425882,72.7248556842891,138.825875061087,396.153880129269,NA,NA,NA,317000945201.482,48156824129.1176,41545369898.3565,71856189337.7088,30835389200.8096,NA,323312440811.269,9278769920.26572,30470204731.0422,21723992005.0971,41146906970.1054,22884688214.3225,716834195061.963,108557753303.83,83738535641.5289,158229471061.647,67543019976.2142,NA,692343957441.339,21855267528,61404125322.1377,49232570351.297,88597648087.7084,53758125511.5704,49.0364456665931
"5","2004m1",33.7935352325135,3174.62399975584,28.1091766107216,253.470771433648,99.1555336831058,100.605924690854,104,NA,NA,NA,NA,NA,118.760065518148,119.484526335079,133.477799110017,74.4006068529851,150.472056754258,435.660802663066,106.070010008517,107.232413630414,870.469947244015,352360121466.348,37722908341.6672,43580151553.4436,66857912868.3326,36890261550.9107,NA,336824384337.47,20672442472.9743,31721093163.3102,25381730586.7336,44132440728.9928,26827265538.3919,809823571380.325,117105341264.164,108844611618.883,145647042403.307,67594411086.8437,NA,703724847120.167,53140930389,68567582604.3446,53953065337.1983,89760098107.3274,55966435160.6999,49.515852294827
"6","2004m2",33.6989001956075,3276.78217497837,28.2789094904244,255.063744786272,100.827826132163,100.682246517419,103.4,NA,NA,NA,NA,NA,117.608257213948,119.635544357398,131.473660047966,73.3946093742402,150.569135370282,440.885171830252,105.080699998645,98.138945378252,859.22278445236,468848385009.309,55897158469.8363,42961863586.9028,71018330527.0516,43466394554.6983,NA,349415665321.398,13758608994.2112,32028427113.5426,26412873822.5848,42385776814.5447,28645357249.9234,765571113837.221,113868972025.956,85368038348.5022,163404925959.072,76025523381.4884,NA,724511052305.976,31883525360,64140279022.8342,54569569462.7886,89570666763.2355,57349944809.4021,49.8941903384573
"7","2004m3",32.0318116198823,3347.95815894358,29.3665131842065,256.238635236526,102.981588897478,100.733645783896,101.3,NA,NA,NA,NA,NA,118.573232702237,120.18012427496,133.311667782349,72.9908103849403,151.753160211775,445.667544035642,107.945992485018,98.0721212572091,884.413514550473,342864660640.447,40260042043.8398,44294380605.6462,78055490150.8273,51329375876.8032,NA,359819585907.312,16062918268.1184,32992991696.7692,26841063358.6846,44741819239.3116,30587377345.8948,764653024929.023,106732329580.751,86359106432.0346,165199238603.771,76987047361.3796,NA,729808277840.429,30020230692,65089878629.5588,53264089595.6074,90453179905.6954,59236041265.4907,50.2854490171224
"8","2004m4",32.2931505166343,3429.27437927202,29.2627599105928,256.838101728457,104.217034241967,101.02654421384,102.1,NA,NA,NA,NA,NA,119.620994842158,121.116315045453,133.524129967681,73.9177013770245,151.642683984642,446.631347850481,107.810227806341,98.4052074355033,894.93822947692,503570322836.082,81794424072.7372,44739516356.9019,86198058672.7254,44657839479.504,NA,362404911377.165,18151854006.9942,34289114944.1958,28334709381.8679,46064677041.0165,31110362107.7307,917289899919.706,130765030608.333,87254941037.6414,167207922789.58,79796703242.977,NA,727684298808.827,43736669075,71972487723.0085,54885060919.8652,91484632928.0167,61159859912.3984,50.6705970743601
"9","2004m5",35.0827716121134,3503.36993600544,29.1530134068457,258.891537277893,107.102007118976,100.836239621068,102.1,NA,NA,NA,NA,NA,120.654848383772,121.413508798476,135.772953283421,74.0591055593133,152.32459356417,449.428257502235,107.179477972426,98.4495729481254,923.861393229667,440310385547.316,65156992034.017,45857289807.9069,94474472250.4558,42404095100.9182,NA,373824860314.85,22913607953.9996,34516281368.6496,31189370860.3537,47322305696.4494,35572120122.7071,840685762263.26,128419012560.759,87998535576.4864,173958948654.054,78138947030.6509,NA,726568252890.228,42603686732,63802363808.7491,59870743185.2634,91893118352.4443,62318272697.313,51.1667725007818
"10","2004m6",30.4070460059803,3584.38977799815,29.1997655129468,259.601940044773,108.219230019602,100.986079272818,102.8,NA,NA,NA,NA,NA,120.308211514773,122.318498325018,134.223972219731,74.3668937223543,153.198058792718,456.102011211677,107.808919365401,101.023616377379,935.889593603168,445164668476.944,64697288504.3082,46594082570.2624,94490971122.9181,39782727523.1726,NA,381285202634.438,16900172244.8027,35489962517.8808,32365233354.0086,46469839904.7969,28073200087.0995,867948333707.968,131837026942.384,88882733203.9832,174450421505.002,86494103283.8305,NA,746359898424.598,30783324407,68651602649.517,60965918956.572,92572115426.4809,59920961011.7627,51.6112904390373
"11","2004m7",38.5381054833078,3645.37626806415,29.5011699310055,258.450820877051,108.707337543219,101.060313690119,101.2,NA,NA,NA,NA,NA,120.899909624998,122.444717477604,135.723975724294,73.6062843164531,154.56036891733,465.048203352053,109.578942286682,101.102264391329,948.445214750969,442352442278.891,73809745505.4822,46915162824.4603,102702472020.113,48762911366.5532,NA,382134075273.252,15761444257.7134,36107326734.687,34043174778.9327,48831088649.8902,32542851371.8917,891859354604.122,137973622497.876,89704985011.9522,188090868749.536,79422354104.9685,NA,739073007207.808,38803745793,68328193802.7942,63161443296.6008,93567169189.4582,62842438942.1975,52.1213002708813
"12","2004m8",36.8518598648141,3709.80985453259,28.9026193033935,261.021263260182,111.950305801449,101.073792489861,101.8,NA,NA,NA,NA,NA,121.882094820982,123.061567268478,137.117352821944,73.6204451297489,155.254496681882,471.859326370793,111.536214000514,101.292717693058,964.119808738995,503237440199.252,81123075411.4356,48319813343.2063,92649358744.8265,41934234282.5786,NA,394480810291.651,13903472266.0446,36980603348.9056,35597988112.5989,50526262398.3109,32970885004.7483,857797718080.377,142270093455.501,90527690696.0326,172145980340.974,68815204192.878,NA,742166406639.979,20824222538,68616992414.1016,65116832714.7802,94473109943.9357,69256904073.1933,52.666682494339
"13","2004m9",47.7343702475333,3790.89907904081,29.4485321464772,263.595516555247,114.015976736604,100.878744853281,103.1,NA,NA,NA,NA,NA,121.713126874106,123.069413602804,136.839557528242,74.3628442453157,156.450390343272,479.411519972626,111.355843810728,101.292390258689,993.307980716109,462933207413.921,90514225476.7809,48505752503.4967,96003729228.2137,36779602884.7738,NA,384014314111.817,15085154519.3915,37698562445.7566,35139437752.534,50427842110.9911,35604140219.4301,924583937688.765,149896165672.163,91202580042.3009,175000461728.207,93826176963.4103,NA,716405270704.946,29276419578,72570735070.0255,64113040203.2272,95456143042.6288,63659484477.2031,53.2040351748742
"14","2004m10",49.7286668744752,3932.7324425417,29.1636185161825,261.994530339382,115.923651063226,101.133175112272,101.8,NA,NA,NA,NA,NA,121.981206499481,123.713269448565,136.770360485136,75.0885824994844,158.290238815614,488.910350390511,108.776470422236,100.538284725509,1035.70282080219,496996960113.954,86267367789.2321,50699734663.9192,91379855841.5952,37588503050.524,NA,420605762359.985,22771243491.4822,38392209088.1397,39293651567.6971,52809519867.2124,44624901491.4662,884212701838.766,150234966977.969,92140672280.0667,174983331986.328,88418166997.4461,NA,773052262186.528,34669647928,71996542175.8154,71924714173.9876,96709282961.6272,73122117460.9935,53.6845019671383
"15","2004m11",47.1136147463228,4067.25692019889,27.5410825635124,265.14334277051,118.915540466821,101.093693891105,102,NA,NA,NA,NA,NA,123.091354528441,122.985341470675,139.32518344875,74.2573730003095,160.548762219878,500.252421063163,106.883468275701,100.303376122404,1042.91236339176,511579878631.283,76610493861.6085,49899004585.3295,99809480060.314,47601192408.5359,NA,413066528634.945,12819057430.1862,38767229831.4662,42569020853.4477,51807775039.2521,35972935340.5281,940517124369.545,153322845421.672,92592820980.832,185524536580.772,92631881859.329,NA,776312334696.998,32418698397,73174895723.3225,78317085955.3078,97359405993.5008,66139117285.6441,54.2763181197441
"16","2004m12",44.2764688263287,4139.25236798401,26.9476742252703,266.745009358569,121.503719028039,101.028849782581,100.1,NA,NA,NA,NA,NA,124.334733998169,123.566188242463,140.523409249089,75.3771434951402,158.892040918395,503.778788111932,107.78260009086,100.878049837826,1041.68662995359,496299331419.19,90293935642.6915,51209365349.3666,96651241852.7313,46349991220.0869,NA,419341127863.303,3864641361.87114,37631368015.1615,42148456050.9736,52299446410.885,26785895818.9557,881154948501.993,158224092121.473,93729501128.501,176981603578.611,90203244588.898,NA,767670583458.589,20279301586,59255049484.3672,75638838142.6033,98282504646.4559,56082505504.3504,54.8545564699625
"17","2005m1",50.1537413381607,4169.84247812528,27.6575836826837,277.75653018245,128.053489423959,101.378125274475,100.5,NA,NA,NA,NA,NA,123.825178091516,123.439820871221,141.438015259408,73.5273080887823,166.024971351196,534.01894089751,101.469916996325,101.21343946215,1065.85980535346,698843054275.921,156940738718.16,51511295852.0173,193416972152.412,52586285539.7978,22654539378.3464,456600916750.608,61465108818.3562,40227897168.8415,48097060580.6214,57203403083.3766,53335253468.4883,1492522659600.09,335924743107.473,94437479470.2567,359278869023.932,91464461347.8215,52678796119.2561,805646753467.61,97327275585,73431848041.5518,86825485716.4119,100391892042.468,84673802064.9448,55.4034437503499
"18","2005m2",50.8289642603244,4289.62181956255,27.5289931602652,276.38469306912,132.784830324499,100.855944303066,101.3,NA,NA,NA,NA,NA,127.567610484867,123.849915171557,146.584864983393,74.18553148616,167.534319804361,542.901415484681,103.81875,101.194778184178,1106.27747564376,562294881605.561,125274853897.456,54272379736.2989,79616604922.5311,39102671083.7914,23314739275.5144,447549405848.152,66473073006.6617,42725635079.772,51441978435.9899,59597619399.8032,39400690033.2909,1030031637922.5,179078085723.346,95758234155.0537,145391335754.651,66061493218.9409,49591962711.9156,785009188716.199,114528701926,80362910222.4099,92407626214.2033,102374082880.505,69859220259.9861,56.1648191127032
"19","2005m3",52.7216861396288,4421.86638919467,28.6326847836082,270.938613267739,130.053790639487,101.222514299036,102.5,NA,NA,NA,NA,NA,124.941824791071,123.294989445566,141.250160881298,75.2246214343689,168.915447975543,551.592599277807,104.787673424784,101.097208715565,1131.23494255997,620350096582.607,82769129021.6339,54298178053.8152,74583051933.1761,98154712867.9644,23283980400.8473,446931338219.812,59988839080.4119,42602844359.8138,54026777292.0778,58874328114.9359,32624507913.7446,1003277586251.71,162494159117.271,96326837684.8087,142972432373.731,156082027476.283,44988505699.0285,785026667998.704,105736559036,75326505542.9452,96836962518.3764,103365385642.724,66805214842.3091,56.6477491911999
"20","2005m4",46.5028344746687,4555.50715474885,28.1527013940095,274.20772947347,132.999371342733,101.13758032164,102.5,NA,NA,NA,NA,NA,126.478163978083,122.886811762966,145.857681760801,74.3307040157707,171.955722927216,565.904960110409,107.698990871723,100.746515014793,1156.23092484105,503251039503.581,108601406029.183,55357682016.1221,81748905886.0754,76961746629.8589,22985886057.6519,463216554854.791,60818345789.8164,43307821715.1322,56418890995.8972,60522033682.5784,38744948305.0829,1034995151195.01,172222104072.781,97171865803.0192,143264786067.969,128888740485.769,41770669163.2083,811862853771.26,102641437478,72529478022.484,100355987201.854,104566108719.615,69510707100.6278,57.3377723453913
