Time;GDP_2011;Ex_2011;Im_2011;Inv_current;Inv_index;Budget_in;Tax_pi;Tax_ndfl;Tax_nds;Tax_ndpi;Insurance;Budget_out;Out_general;Out_defense;Out_economy;Out_educ;Out_soc;Brent;IPC;Budget_in_r;Tax_pi_r;Tax_ndfl_r;Tax_nds_r;Tax_ndpi_r;Insurance_r;Budget_out_r;Out_general_r;Out_defense_r;Out_economy_r;Out_educ_r;Out_soc_r;INDEXDefl
2003q04;11513.59769;2957.541182;1063.918935;778.3;;1.14018E+12;1.47741E+11;1.39183E+11;2.31608E+11;91277757000;;1.22708E+12;60990422000;1.1276E+11;1.26087E+11;1.57465E+11;95677837000;29.06;1.0313211;2.40516E+12;3.11652E+11;2.93598E+11;4.88563E+11;1.92545E+11;;2.58845E+12;1.28656E+11;2.3786E+11;2.65973E+11;3.32164E+11;2.01827E+11;47.40587292
2004q01;10263.27191;3080.38102;1213.449696;442.2;;1.04506E+12;1.40852E+11;1.16744E+11;2.1623E+11;1.02872E+11;;8.89629E+11;40007867000;89339637000;43510911000;1.15846E+11;76955644000;31.62666667;1.03640544;2.12706E+12;2.86683E+11;2.37614E+11;4.40102E+11;2.09381E+11;;1.8107E+12;81429837084;1.81837E+11;88559742366;2.35786E+11;1.56631E+11;49.13170458
2004q02;11195.73686;3755.857216;1621.704222;626.3;;1.37935E+12;2.42023E+11;1.35849E+11;2.57598E+11;1.2498E+11;;1.12272E+12;54095384000;1.03292E+11;78221232000;1.72534E+11;94997036000;35.20333333;1.02520656;2.73843E+12;4.8049E+11;2.69701E+11;5.11411E+11;2.48123E+11;;2.22894E+12;1.07396E+11;2.05066E+11;1.55293E+11;3.42532E+11;1.88598E+11;50.37014584
2004q03;11984.89292;3513.568878;1436.475452;783.3;;1.43118E+12;2.2775E+11;1.49485E+11;2.94141E+11;1.37652E+11;;1.13299E+12;52595220000;98440563000;92970067000;1.15101E+11;99018947000;42.67;1.017088144;2.79359E+12;4.44555E+11;2.91787E+11;5.74147E+11;2.68689E+11;;2.21153E+12;1.02663E+11;1.92151E+11;1.81473E+11;2.2467E+11;1.9328E+11;51.23087815
2004q04;12229.53448;3328.469326;1361.042383;1013.2;;1.57429E+12;2.56972E+11;1.72462E+11;3.01723E+11;1.44575E+11;;1.52432E+12;76293277000;1.38927E+11;1.83639E+11;1.89925E+11;1.33085E+11;44.35;1.033364331;2.97372E+12;4.854E+11;3.25768E+11;5.69932E+11;2.73091E+11;;2.87932E+12;1.44112E+11;2.62422E+11;3.46879E+11;3.58755E+11;2.51388E+11;52.94016213
2005q01;10835.76153;3179.520819;1388.946326;540.5;;1.71627E+12;3.57191E+11;1.34649E+11;3.51706E+11;1.68213E+11;60994307000;1.06087E+12;1.53586E+11;1.17339E+11;1.07598E+11;1.39402E+11;96805294000;49.68666667;1.051810056;3.08222E+12;6.41473E+11;2.41813E+11;6.31621E+11;3.0209E+11;1.09538E+11;1.90519E+12;2.75822E+11;2.10727E+11;1.93234E+11;2.50349E+11;1.73851E+11;55.68299489
2005q02;11869.49643;3957.790887;1843.894786;776.3;;1.79751E+12;3.20621E+11;1.69842E+11;2.35209E+11;2.133E+11;66821162000;1.38218E+12;1.64448E+11;1.27576E+11;1.63447E+11;2.21769E+11;1.23029E+11;51.33666667;1.025202528;3.14875E+12;5.61641E+11;2.97517E+11;4.12023E+11;3.73645E+11;1.17053E+11;2.4212E+12;2.88069E+11;2.23478E+11;2.86315E+11;3.8848E+11;2.15514E+11;57.08634713
2005q03;12699.84186;3686.034525;1693.577761;993.6;;1.91033E+12;2.94065E+11;1.83511E+11;2.28859E+11;2.607E+11;65608639000;1.65512E+12;2.13271E+11;1.2803E+11;1.90452E+11;1.60962E+11;1.22682E+11;62.98;1.007006985;3.32311E+12;5.11539E+11;3.19225E+11;3.9811E+11;4.53499E+11;1.14129E+11;2.87914E+12;3.70994E+11;2.22713E+11;3.31299E+11;2.8E+11;2.13411E+11;57.48635031
2005q04;13181.52641;3658.451186;1631.815794;1300.7;;2.18748E+12;3.61026E+11;2.19002E+11;2.1E+11;2.66517E+11;74516614675;1.84322E+12;2.20095E+11;2.08819E+11;3.00524E+11;2.67781E+11;1.71347E+11;56.87666667;1.021146336;3.72641E+12;6.15015E+11;3.73074E+11;3.5774E+11;4.54017E+11;1.26941E+11;3.13996E+12;3.74936E+11;3.55727E+11;5.11949E+11;4.5617E+11;2.91893E+11;58.70197598
2006q01;11626.66697;3477.980438;1702.895558;658.4;;1.98954E+12;3.31914E+11;1.7667E+11;2.69314E+11;2.70053E+11;62784085024;1.27422E+12;1.59539E+11;1.39493E+11;1.11208E+11;1.67036E+11;1.17238E+11;63.47333333;1.049739264;3.22863E+12;5.38631E+11;2.86701E+11;4.37044E+11;4.38243E+11;1.01886E+11;2.06781E+12;2.589E+11;2.2637E+11;1.80469E+11;2.71066E+11;1.90255E+11;61.62176907
