"","Time","GDP_2011","Ex_2011","Im_2011","Inv_current","Inv_index","Budget_in","Tax_pi","Tax_ndfl","Tax_nds","Tax_ndpi","Insurance","Budget_out","Out_general","Out_defense","Out_economy","Out_educ","Out_soc","Brent","IPC","Budget_in_r","Tax_pi_r","Tax_ndfl_r","Tax_nds_r","Tax_ndpi_r","Insurance_r","Budget_out_r","Out_general_r","Out_defense_r","Out_economy_r","Out_educ_r","Out_soc_r","INDEXDefl"
"1","2003q04",11513.5976879217,2957.54118226381,1063.9189351739,778.3,NA,1140184859000,147741408000,139182673000,231607672000,91277757000,0,1227076665000,60990422000,112759589000,126087004000,157465393000,318299040000,29.06,1.0313211,2405155287129.32,311652120070.058,293597954051.362,488563246962.494,192545250985.354,0,2588448623257.64,128655835744.218,237859957108.831,265973383101.113,332164314869.091,671433770498.952,47.405872922279
"2","2004q01",10263.2719085292,3080.38101971245,1213.44969561272,442.2,NA,1045061297000,140852164000,116743763000,216229623000,102872471000,0,889628524000,40007867000,89339637000,43510911000,115845796000,339780843000,31.6266666666667,1.03640544,2127060939236.36,286682835840.694,237613907327.359,440102017278.231,209381033835.019,0,1810701524650.28,81429837084.3442,181837039352.397,88559742365.7052,235786234122.058,691571452431.372,49.1317045845987
"3","2004q02",11195.7368623501,3755.85721605616,1621.70422221336,626.3,NA,1379351885000,242023340000,135848915000,257598437000,124980097000,0,1122721966000,54095384000,103291973000,78221232000,172534015000,440798326000,35.2033333333333,1.02520656,2738431390031.84,480489655021.096,269701254033.352,511410941308.816,248123357408.559,0,2228943250382.16,107395726364.216,205065860479.483,155292843983.581,342532291913.477,875118224521.721,50.3701458441127
"4","2004q03",11984.8929210994,3513.56887760909,1436.47545232859,783.3,NA,1431179584000,227749546000,149484920000,294140552000,137651660000,0,1132985855000,52595220000,98440563000,92970067000,115100668000,501655643000,42.67,1.017088144,2793587843294.14,444555225727.256,291786761030.122,574147003963.29,268688855182.313,0,2211529249394.48,102663124076.105,192150840578.111,181472717934.916,224670495914.393,979205629728.089,51.2308781495979
"5","2004q04",12229.5344792144,3328.4693261281,1361.04238294257,1013.2,NA,1574293287000,256971647000,172461881000,301722995000,144574584000,0,1524318022000,76293277000,138926503000,183638500000,189925235000,593216002000,44.35,1.033364331,2973722073734.78,485400188972.465,325767572435.518,569932132591.803,273090557707.386,0,2879322542276.17,144112284391.938,262421755850.301,346879368378.8,358754539794.189,1120540584278.12,52.9401621256017
"6","2005q01",10835.7615254861,3179.52081878374,1388.94632589671,540.5,NA,1716270032000,357191130000,134648794000,351705635000,168212520000,60994307000,1060868334000,153585978000,117339181000,107598317000,139401663000,413101794000,49.6866666666667,1.051810056,3082215738199.98,641472554961.815,241813132116.99,631621261921.923,302089570312.021,109538481399.063,1905192664468.08,275822049987.549,210727137130.188,193233710242.416,250348716471.587,741881421457.72,55.6829948899782
"7","2005q02",11869.4964252764,3957.79088674189,1843.89478621468,776.3,NA,1797505229000,320620522000,169841848000,235209124000,213300016000,66821162000,1382175906000,164448199000,127575701000,163446672000,221768962000,439325345000,51.3366666666667,1.025202528,3148748027221.59,561641334804.85,297517456529.007,412023427376.366,373644534519.646,117052789961.121,2421202223546.2,288069227186.317,223478480264.917,286314819958.688,388479861048.839,769580411260.765,57.0863471278167
"8","2005q03",12699.8418648077,3686.03452504504,1693.57776101156,993.6,NA,1910331994000,294064833000,183510948000,228858661000,260699961000,65608639000,1655115312000,213270701000,128029826000,190451523000,160961571000,438978771000,62.98,1.007006985,3323105369946.8,511538532948.22,319225254384.148,398109568240.804,453498890802.758,114129073512.131,2879144880818.22,370993635646.254,222713436004.964,331298685664.92,279999634945.743,763622614176.217,57.4863503058461
"9","2005q04",13181.5264133621,3658.45118582377,1631.81579431972,1300.7,NA,2187479233912.4,361025756976.35,219001556153.73,210000288412.85,266517073901.64,74516614675.01,1843219963776.67,220094899925.52,208818892166.87,300524354187.33,267780582922.33,487643633553.27,56.8766666666667,1.021146336,3726414992363.8,615014658228.31,373073567762.584,357739726627.139,454017210545.906,126940555960.621,3139962382617.39,374936100928.541,355727194295.544,511949298376.271,456169623645.281,830710764624.536,58.7019759848272
"10","2006q01",11626.6669656925,3477.98043751406,1702.89555826425,658.4,NA,1989536974114.87,331913974847.43,176669992792.31,269313939056.64,270052932263.29,62784085023.76,1274220912328.84,159538781362.26,139493359282.06,111207902143.05,167035565434.8,490439841075.49,63.4733333333333,1.049739264,3228626838017.28,538631038803.469,286700618094.991,437043504495.44,438242744987.648,101886209980.215,2067809690713.61,258900034486.629,226370260700.288,180468532191.209,271065839179.045,795887311435.224,61.6217690656582
"11","2006q02",12828.7640727858,4198.79344842102,2231.06130466898,1017.6,NA,3394987486559.76,425599681889.48,223953808654.78,198167596905.65,300856398753.37,606819188232.32,2707617516593.58,182275734201.24,172851912079.33,210313609528.67,286890964151.45,908779933414.34,71.4266666666667,1.01204706,5443814376727.6,682443065305.202,359106761984.919,317758936463.623,482418976608.283,973025978461.181,4341626359998.12,292276559575.42,277165594202.478,337234895770.947,460025599912.742,1457215758935.16,62.3641302148984
"12","2006q03",13740.0815883498,3928.97399875274,2000.11505247662,1287.3,NA,2227657670442.08,404963786601.22,240065310223.21,234961263205.66,320921266421.67,359957350429.01,1499313965806.63,219824293222.32,134883724980.66,232180203982.27,210619740979.38,553757832819.48,68.7233333333333,1.010023014,3536570445708.36,642909805343.568,381121342134.552,373018291977.751,509486121357.661,571458776693.501,2380271228683.56,348987238467.617,214137837111.656,368603155851.717,334374334581.94,879131300834.136,62.9892067651401
"13","2006q04",14352.0879242274,3921.11879176357,2003.92519441377,1766.7,NA,3030659069396.49,508090703481.54,289641383352.96,221903991150.25,270457951509.98,430585395177.64,2902856728698.06,262640410972.03,236107550326.91,395839436325.24,368736734139.22,678459788382.64,60.5066666666667,1.017090144,4730548490303.96,793077563412.867,452100542283.28,346369408861.709,422157169417.612,672099713119.542,4531062122486.06,409954789096.076,368539710397.299,617864829079.578,575560286083.006,1059006260412.05,64.0657013792022
"14","2007q01",12565.2383785266,3580.4593338622,2206.00723916417,897.6,87.1,2530245523916.35,418107382390.16,238851074775.29,209339712231.13,236416482776.58,385848329866.97,1754667645016.9,171694989445.8,148318797216.23,167161774121.1,206573109675.92,542027903271.66,62.0966666666667,1.034356122,3818273127064.46,630945956555.475,360438792032.067,315904599013.908,356764865088.545,582265355329.391,2647885453237.54,259096739053.924,223820839636.421,252255879504.963,311729650737.159,817948518283.672,66.2667504318016
"15","2007q02",13934.9020844522,4397.81719536844,2836.83159500736,1414.4,132.9,3163964245658.35,491145171887.8,299548413485.45,389454174761.28,283825507927.02,471311597304.72,2475086914693.84,230147706116.67,207529814324.41,263278921417.53,364135120529.39,658019570643.28,69.7866666666667,1.02215636,4671093468231.99,725098271103.064,442235919565.518,574967575692.235,419023532903.314,695817130896.171,3654074895567.35,339776736809.003,306384992018.909,388689743205.582,537587991202.088,971461963458.781,67.7349804103987
"16","2007q03",14863.2139430465,4068.18326185915,2527.0609552326,1744.1,156.5,3209165067242.95,459381781630.03,326315797769.65,321251322223.85,318339504217.06,456504779314.13,2491061341981.91,260094562544.28,170923198393.7,330701982634.88,267161792199.49,664147181940.55,77.7766666666667,1.018089072,4653645218521.17,666154525169.049,473194092606.546,465850041454.862,461627582447.434,661982552774.196,3612315184870.31,377165958118.636,247857591701.428,479554547054.333,387414224818.552,963087062482.339,68.960243347961
"17","2007q04",15670.6291337,4346.49203899742,2469.7450929967,2660.1,226.7,4347300256082.96,803353299760.53,401841601110.53,470573020504.36,358814051573.74,534735745327.64,4524951730342.57,504773917355.83,307216125656.23,799255452500.27,504395478791.02,853020113487.03,90.9966666666667,1.039502112,6064506632313.67,1120682061854.77,560571138757.766,656451828889.297,500547481736.849,745959166159.969,6312331369604.41,704162259172.228,428568104765.47,1114965543458.49,703634335391.716,1189967527202.78,71.6843186042394
