"","Time","GDP_2011","Ex_2011","Im_2011","Inv_current","Inv_index","Budget_in","Tax_pi","Tax_ndfl","Tax_nds","Tax_ndpi","Insurance","Budget_out","Out_general","Out_defense","Out_economy","Out_educ","Out_soc","Brent","IPC","Budget_in_r","Tax_pi_r","Tax_ndfl_r","Tax_nds_r","Tax_ndpi_r","Insurance_r","Budget_out_r","Out_general_r","Out_defense_r","Out_economy_r","Out_educ_r","Out_soc_r","INDEXDefl"
"1","2003q04",10971.3535345368,3177.90607152856,1197.39929276549,604.385944800749,NA,1096763385761.37,1.47741e+11,125766566888.327,228928693015.166,92754541993.5589,NA,934858119597.448,43423044402.9173,106675440788.727,77107916988.8703,131176863760.218,16055593517.0951,29.06,1.03092265030821,2403910001146.54,3.11652e+11,264480480184.715,4.88563e+11,198288951786.727,NA,2145524376482.42,100009088258.046,219020584546.705,159387807351.422,278677824696.321,169099456890.498,47.7049702537851
"2","2004q01",11184.518987719,3340.24619899733,1300.63992199828,654.074829597866,NA,1154217149934.05,1.40852e+11,133379594866.466,251889856316.798,109376255140.116,NA,1062388496108.35,49721259413.4305,107376665293.907,74262476079.7225,138076589454.119,74710416691.6694,31.62666667,1.02223906162835,2339674242598.49,2.86683e+11,271905671667.457,4.40102e+11,216018199849.533,NA,2216739762999.34,113740976160.292,218713535120.301,157831772572.547,286010508144.2,183303943563.488,48.7370362550075
"3","2004q02",11326.9702670304,3368.36515633271,1370.77220134856,691.81501630424,NA,1333326914564.09,2.42023e+11,138481902592.385,271581116079.541,121516578974.859,NA,1140776314959.84,54378290157.0512,113360245680.932,93184931523.5799,144090289429.225,115647046481.064,35.20333333,1.02953388992038,2639280479711.67,4.8049e+11,276671350257.591,5.11411e+11,239416538283.328,NA,2241395185603.05,117188449826.934,224298600393.902,185711946917.743,285394992156.365,190880761800.982,50.1555627734636
"4","2004q03",11502.284659909,3440.18487641403,1439.38307620994,737.661458616984,NA,1440125201202.33,2.2775e+11,145662390018.267,292435592155.728,131486417949.255,NA,1164372623900.21,53485596604.7174,120555906106.229,98964468508.3691,150453726630.354,159564117710.795,42.67,1.02740454072609,2739522976888.26,444555000000.001,280971631049.266,5.74147e+11,256980421515.156,NA,2310349695832.54,89027408356.5399,230390827087.687,194306792804.174,289619573532.391,200093322392.612,51.5443108818219
"5","2004q04",11618.0906729133,3481.58557476198,1492.829309691,778.939409082425,NA,1519722459645.14,2.56972e+11,152863318039.466,297537570283.067,146910828799.309,NA,1266209755103.28,58895905355.5903,120960964826.058,112303687095.943,159230459172.692,49883880473.2758,44.35,1.03296433999493,2874140128564.1,4.854e+11,285120848071.898,5.69932e+11,284766276439.165,NA,2345459139341.94,103537106516.956,228884464430.354,207870497110.262,298012721005.091,206327207273.663,53.2741330329505
"6","2005q01",11831.9487334448,3487.3020703716,1522.56423188634,820.950835211891,NA,1778061423769.97,357190999999.999,158767062645.944,323309670464.354,178852370392.807,58851732748.5184,1339719562671.25,174259010353.774,132519556118.183,183642507257.105,173675682124.96,105249538928.564,49.68666667,1.03743611314248,3243204713904.83,641473000000.001,289833176117.9,6.31621e+11,326204816523.131,121273362310.411,2361795591227.1,321435720491.517,238265641022.435,344379813346.004,313870589004.033,212416797091.418,55.2348584508619
"7","2005q02",12013.2781190263,3584.67980355423,1588.64813069501,870.092314630514,NA,1782936140608.13,3.20621e+11,169948820484.412,246561912095.713,207393158331.566,61601931511.2825,1394236541546.1,179202254096.381,137213208868.944,194715397016.614,185738396612.886,140684035583.954,51.33666667,1.02952927659675,3149263551096.98,5.61641e+11,299261742673.463,4.12023e+11,369904299195.662,111098051784.801,2430908929676.93,314027118755.591,243100629675.351,342400489041.148,330997088479.525,215782551877.285,56.8434285294591
"8","2005q03",12202.9413004411,3639.12952265583,1692.40453541869,922.450700604039,NA,1965737885817.46,2.94065e+11,180771726074.763,225304708873.109,249018202538.005,68505629168.7011,1651050248455.26,191080598925.401,146650180203.775,202731239072.866,200701350841.406,170055351445.555,62.98,1.01721917380294,3365684405113.5,5.11539e+11,311811521022.181,3.9811e+11,422776867793.786,122559028533.57,3064073490626.3,340532078908.206,251994295360.447,354731981367.811,347148173600.208,224612287558.911,57.8371538164144
"9","2005q04",12474.152520815,3729.65189053561,1762.66490063683,979.275602856647,NA,1996430315501.98,3.61026e+11,193355695630.351,215791045474.513,270816029806.712,67538316809.2768,1417147447189.51,191108275650.035,156094496159.258,183782306501.778,213279418581.774,87072491267.2712,56.87666667,1.02075047001619,3411129025915.98,6.15015e+11,326691983147.807,3.5774e+11,454311667339.359,105969066887.001,2500514744874.41,317715281930.463,262056392000.407,306790683621.055,359581823967.913,224845557193.511,59.0711673775399
"10","2006q01",12726.9066409813,3816.82656033312,1834.83793420064,1041.50890820715,NA,2134323716836.66,3.31914e+11,207403165801.959,250803149157.243,287139765031.746,81283676077.0665,1649097276943.1,195674536619.618,165122768811.717,189805008718.044,226038108375.748,153530771750.449,63.47333333,1.03539722335929,3449441416722.04,538630999999.999,341620007255.634,4.37044e+11,469531864061.176,130068341167.616,2597759939459.86,317464107290.211,270908776814.591,321624972302.287,374485376521.012,256704873427.182,61.1279396573165
