"","Time","GDP_2011","Ex_2011","Im_2011","Inv_current","Inv_index","Budget_in","Tax_pi","Tax_ndfl","Tax_nds","Tax_ndpi","Insurance","Budget_out","Out_general","Out_defense","Out_economy","Out_educ","Out_soc","Brent","IPC","Budget_in_r","Tax_pi_r","Tax_ndfl_r","Tax_nds_r","Tax_ndpi_r","Insurance_r","Budget_out_r","Out_general_r","Out_defense_r","Out_economy_r","Out_educ_r","Out_soc_r","INDEXDefl"
"1","2003q04",10971.3535343127,3170.68148352515,1197.39929270939,603.319769828871,NA,925294177292.092,1.47741e+11,124427746654.257,228928693339.282,92754542013.3659,NA,874025888760.103,49163645679.7566,106675440694.769,76295898668.6131,131176863712.293,-14134917305.8112,30.3276442982815,1.03092265032353,2244908269375.83,3.11652e+11,259254747411.994,4.88563e+11,201512787101.224,NA,2006523287983.82,85115677253.4925,219020584520.706,160362154617.034,278677824699.579,83426983768.9065,47.7049702583843
"2","2004q01",11184.5189878854,3340.8577675521,1300.63992161832,656.560780850326,NA,1364717146427.58,1.40852e+11,133524210261.79,251889856012.997,109376255176.665,NA,1134203784209.2,45823953568.0974,107376665216.932,75336821419.9902,138076589427.611,198964885368.322,33.0135790470886,1.02223906162926,2368199894347.86,2.86683e+11,278225730366.271,4.40102e+11,235830354840.756,NA,2317902351866.08,103256702646.58,218713535129.521,154782695251.424,286010508145.011,317242182123.681,48.7370362521093
"3","2004q02",11326.9702671328,3359.23607160303,1370.77220103515,692.375931470891,NA,1218864406575.27,2.42023e+11,137963038211.374,271581116358.531,121516578944.624,NA,1080186946741.78,57020886666.8535,113360245600.434,94078081021.2837,144090289431.81,31262934428.1852,34.0117380600343,1.029533889905,2638886574029.42,4.8049e+11,274010907561.262,5.11411e+11,236265722361.999,NA,2154924672967.63,123405676353.361,224298600396.416,187846625193.896,285394992155.763,101677453811.623,50.1555627700613
"4","2004q03",11502.284659843,3450.15561846746,1439.38307619092,737.992808999322,NA,1487225832336.78,2.2775e+11,146299656405.37,292435592212.974,131486417915.352,NA,1248082883860.04,51667889634.2814,120555905996.839,99083214144.8698,150453726661.254,149661665462.915,40.6666069470928,1.02740454072515,2814076042545.62,444555000000.001,284694959858.168,5.74147e+11,245092082912.833,NA,2344015425346.53,106967494230.078,230390827077.037,192548703903.32,289619573531.415,237818669355.2,51.5443108833055
"5","2004q04",11618.0906727255,3482.00641368904,1492.82930960584,778.104083280353,NA,1354753158658.46,2.56972e+11,153212303906.6,297537570423.998,146910828831.112,NA,1167440756393.85,72130023608.0137,120960964780.038,111120974023.198,159230459197.354,22576562748.8036,46.2837835821122,1.03296434001022,2775576665053.5,4.854e+11,286853138731.34,5.69932e+11,282068053428.534,NA,2262332692393.05,99556796013.6323,228884464469.641,209142523535.856,298012721005.727,131827601743.903,53.2741330380709
"6","2005q01",11831.9487335849,3483.82831623047,1522.56423203448,819.733823376827,NA,2044713955492.96,357190999999.999,158181903541.292,323309669671.13,178852370451.999,82092875789.4318,1407638874027.3,155262704253.138,132519556068.019,186299692884.194,173675682105.286,222822369189.052,51.881209804676,1.0374361131436,3431645007252.44,641473000000.001,285466398777.867,6.31621e+11,328644236663.699,162785201874.24,2534033075299.4,303452870128.119,238265641005.222,337729023304.129,313870589004.279,337623598970.923,55.2348584473301
"7","2005q02",12013.2781191617,3583.98311795704,1588.64813085569,869.739685872731,NA,1632766302480.61,3.20621e+11,170742803019.596,246561912417.045,207393158279.387,5081584671.95719,1274769419121.71,179300946637.629,137213208849.475,196581773067.301,185738396617.475,56801092016.3303,49.5533437465331,1.02952927658131,3034296835186.96,5.61641e+11,301282658671.179,4.12023e+11,361764883973.957,57617673103.9482,2261412825699.83,308836263133.261,243100629687.935,346336450843.784,330997088479.196,126411875887.07,56.8434285256094
"8","2005q03",12202.9413002604,3639.98317087726,1692.40453530512,924.983119725891,NA,1967624904637.03,2.94065e+11,180468356962.855,225304709060.086,249018202474.646,86095344439.6192,1790288007222.7,201748044450.097,146650180246.969,202974215344.747,200701350822.051,173393455041.14,60.043198252822,1.01721917380194,3347487317683.41,5.11539e+11,311668649006.687,3.9811e+11,429804892474.949,136182122459.457,3057943121515.87,369110571470.636,251994295343.379,351517823176.095,347148173600.069,258354796168.058,57.8371538180215
"9","2005q04",12474.1525207156,3729.91749034861,1762.66490051546,979.478038071396,NA,1955694067574.24,3.61026e+11,193562398506.992,215791045604.683,270816029866.13,90934023601.6469,1387489731972.47,191617099148.004,156094496143.893,181846581455.908,213279418580.878,57482395554.3015,59.3741201743348,1.02075047003123,3478086654770.46,6.15015e+11,327381688937.092,3.5774e+11,462978782202.563,110287796926.108,2397252157672.7,309391962950.82,262056391998.242,308663800535.832,359581823967.786,169480752106.731,59.0711673830319
"10","2006q01",12726.9066410815,3815.05104230606,1834.83793425936,1039.10050100703,NA,2338160174012.5,3.31914e+11,207259025248.538,250803148934.655,287139765125.886,174626927107.086,1789739720412.86,187348606822.122,165122768849.813,192551772389.122,226038108398.292,250510347359.917,66.3327514047984,1.0353972233606,3594675734808.76,538630999999.999,339980293839.312,4.37044e+11,464903838887.082,268656547184.952,2900913744338.44,305980814638.827,270908776798.514,315421187574.469,374485376520.675,359872642843.942,61.1279396537084
"11","2006q02",12989.9488737592,3847.79092226755,1930.80631630763,1118.91561908714,NA,3224381853227.67,4.256e+11,223098302237.054,196635679430.67,292530394656.508,461461149286.742,2467501135789.89,203739130734.512,168247385435.15,252953562373.129,242868779820.986,839829643225.59,68.8287086163185,1.01631766727372,5245946459579.76,682442999999.999,362454119050.949,3.17759e+11,470466607073.375,802528143014.85,3995496706036.46,321771793792.77,270093956414.045,407936879943.191,388113839491.342,1366338257364,62.1014441108616
"12","2006q03",13209.5579118792,3912.01906035741,2037.86364958837,1214.33548001088,NA,2283680914492.56,404963999999.999,238616745650.878,232479622670.029,306535766683.938,379524014739.038,1816221826999.23,215548340056.368,166007216675.044,247445381609.463,259504475368.296,605377949584.666,65.5515606799725,1.02026318233177,3562509032273.02,6.4291e+11,372548603408.676,3.73018e+11,485758488838.68,592969464839.89,2818390179372.15,350682813746.486,265020215571.361,391098105941.06,410515553436.975,924766655587.83,63.3704744926603
"13","2006q04",13530.7531654985,3916.1176645366,2179.02672978434,1296.74666880518,NA,2778940562074.76,5.08091e+11,256155087496.985,220638393537.558,274813829576.363,433324066276.878,2113407153477.96,193270339817.841,176867268285.927,239515724144.62,275658244257.772,556248375045.389,63.1608873894562,1.01669501182863,4415263756471.69,7.93078e+11,396009218721.166,3.46369e+11,431149381801.959,651064105858.877,3377519653979.42,313381135915.438,274045159519.783,372513613642.408,427174547444.019,929569025695.667,64.4643290486039
"14","2007q01",13794.3275159819,3932.89164606221,2332.31938979817,1423.58546139593,141.084842628448,2899801124135.73,4.18107e+11,279255313716.628,227828871709.564,251379559030.333,458538245760.789,2415696218112.58,221871461361.129,184566032977.41,289434597871.864,292400342975.531,679977475834.906,64.9788702123417,1.02022868172047,4251179128342,630945999999.999,429108751379.712,3.15905e+11,383479843340.984,689022426008.981,3620316807390.25,321051396693.702,281158423765.818,440890486211.661,443401319075.852,989580412278.818,65.7403366995784
"15","2007q02",14126.3525987977,4089.98523728257,2455.3137766514,1559.09150774765,146.309027410007,3004799357395.16,491145000000.001,299563580649.883,370236590551.554,275977509975.176,387257270222.14,2443193865995.94,255653463409.974,198166180637.758,316664674593.386,312659721158.885,594232358728.881,67.1499272584343,1.02646887146317,4501397381393.05,7.25098e+11,446325762458.253,5.74968e+11,406999323952.4,592960513582.29,3594282124567.5,378473410725.742,294654393791.673,470191050069.116,464326313846.804,887813754533.315,67.4543942311479
"16","2007q03",14273.1644575421,4052.40591827572,2532.57742166016,1691.1916807007,153.626207282276,3252226034399.83,4.59382e+11,322097470867.623,312106959348.362,304067268564.949,472578236653.153,2821054307454.22,286738894162.726,211337568345.664,352445440048.394,332818288772.144,716982007876.731,74.2354714920248,1.02840818609299,4687723573263.07,666155000000.001,460556638484.62,4.6585e+11,438010745295.018,682205499323.893,4045115185215.71,390717565665.547,305152103191.319,508822355440.606,476227368790.167,1008948765499.05,69.3742456287981
"17","2007q04",14727.1259584281,4289.15816033727,2693.41503629573,1912.56323385933,163.147201178498,4076892570198.36,803353000000.001,357437067352.337,446105833814.065,364583653170.629,523405154995.217,3340395381040.28,380934115799.133,216041408152.552,483601976070.829,360412495620.895,719726984916.666,94.9669644626355,1.03909725193385,5660273639864.05,1.12068e+12,489421032755.835,6.56452e+11,509589760186.652,719254058755.117,4730684493128.22,577661652411.691,304550495282.139,672200916812.56,503543199909.864,1051631342990.38,72.1250039957562
"18","2008q01",15117.6364552117,4309.0044108781,2926.04665568439,2078.68648615971,172.704885014384,3722915195431.45,5.69449e+11,384907461510.533,198359204357.603,416620252597.557,488628070700.482,3167978676097.13,338323724580.905,231397696830.375,472129241773.65,377913083236.392,876220281864.803,102.14874389059,1.03339418284415,4942858221938.83,758217999999.999,516107691108.421,1.24706e+11,548337296893.773,653340774706.588,4221062934817.38,435319645524.243,311456761057.189,634565888103.471,500629912037.325,1149150725453.56,74.5115396230982
"19","2008q02",15274.5321523463,4183.70417569189,3003.2857776414,2204.70487612882,174.550034781827,4062358661702.23,6.6262e+11,410111152334.211,332714103827.718,449234022946.369,528049041657.86,3289680477087.09,311273777742.723,243209744158.467,506798003118.958,400780802840.373,797864999100.135,122.082440950631,1.04285863044621,5201203406758.51,849584999999.999,533916769622.622,4.37956e+11,580139979913.395,681766058653.896,4218937869483.36,395981718788.66,316377483139.326,653527873592.285,523151833988.018,1022456974864.79,77.6747418139547
"20","2008q03",15125.522126125,4129.6062770829,2881.91881310227,2226.98723408348,168.769413710427,4662142568778.26,7.83258e+11,428106583996.319,331314280213.319,502335238661.5,550916349223.136,3543393642742.01,323088820400.963,258476449001.954,500661586683.538,420360176443.368,961384953086.393,107.595783734244,1.02739817954347,5885915341412.87,987384000000.001,552648827605.3,4.60505e+11,639528307475.26,696206838121.306,4453268948022.1,398126437147.219,326215066323.228,628346786507.355,526671012676.585,1189302303443.76,79.797486785244
